#,Natural Language Question,Ground Truth SQL query (L3) ,Layer3_Actual,Layer4_Actual
1,What is the yearly nominal GDP growth trend?,"SELECT YEAR, SUM(CURRENT_GDP_NOMINAL) AS total_gdp_nominal,
  LAG(SUM(CURRENT_GDP_NOMINAL)) OVER (ORDER BY YEAR) AS prev_gdp,
  ROUND(((SUM(CURRENT_GDP_NOMINAL) - LAG(SUM(CURRENT_GDP_NOMINAL)) OVER (ORDER BY YEAR)) / 
  LAG(SUM(CURRENT_GDP_NOMINAL)) OVER (ORDER BY YEAR)) * 100, 2) AS gdp_growth_pct
 FROM gold.vw_npc_gdp_by_economic_activity
 GROUP BY YEAR
 ORDER BY YEAR;",,
2,Which 5 countries have the highest latest LPI score?,"SELECT c.COUNTRY_NAME_EN, l.YEAR, l.LPI_SCORE
 FROM gold.intl_fact_lpi_ranking l
 JOIN gold.dim_country c ON l.COUNTRY_ID = c.COUNTRY_ID
 WHERE l.YEAR = (SELECT MAX(YEAR) FROM gold.intl_fact_lpi_ranking)
 ORDER BY l.LPI_SCORE DESC
 LIMIT 5;",,
3,What is the average obesity rate in Qatar by gender for the latest year?,"SELECT GENDER_EN, ROUND(AVG(VALUE), 2) AS avg_obesity_rate
 FROM gold.intl_fact_obesity_rate
 WHERE COUNTRY_ID = (SELECT COUNTRY_ID FROM gold.dim_country WHERE COUNTRY_NAME_EN = 'Qatar')
  AND YEAR = (SELECT MAX(YEAR) FROM gold.intl_fact_obesity_rate)
 GROUP BY GENDER_EN;",,
4,Is there a correlation between LPI score and logistics timeliness?,"SELECT YEAR, ROUND(AVG(LPI_SCORE),2) AS avg_lpi, ROUND(AVG(TIMELINESS_SCORE),2) AS avg_timeliness
 FROM gold.intl_fact_lpi_ranking
 GROUP BY YEAR
 ORDER BY YEAR;",,
5,What is the trend in the ratio of Qatari STEM graduates (education)?,"SELECT YEAR, SUM(GRADUATES_IN_STEM_FIELDS) AS total_stem,
  SUM(GRADUATES_IN_ALL_FIELDS) AS total_all,
  ROUND(SUM(GRADUATES_IN_STEM_FIELDS)/SUM(GRADUATES_IN_ALL_FIELDS)*100,2) AS stem_ratio_pct
 FROM gold.moehe_fact_qatari_stem_graduates
 GROUP BY YEAR
 ORDER BY YEAR;",,
6,How has the ratio of public debt to GDP changed over time?,"SELECT YEAR, ROUND(AVG(`Debt/GDP`),2) AS avg_debt_to_gdp
 FROM gold.mof_fact_public_debt_as_percentage_of_gdp
 GROUP BY YEAR
 ORDER BY YEAR;",,
7,Which 5 years had the highest Real GDP from manufacturing?,"SELECT dd.year, SUM(REAL_GDP) AS total_real_gdp
 FROM gold.vw_npc_gdp_manufacturing_labor_productivity_growth gdp
 JOIN gold.dim_date dd on gdp.DATE_ID = dd.DATE_ID
 GROUP BY dd.YEAR
 ORDER BY total_real_gdp DESC
 LIMIT 5;",,
8,What is the CPI value trend by basket group?,"SELECT b.BASKET_GROUP_DESCRIPTION_EN, d.YEAR, ROUND(AVG(v.CPI_VALUE),2) AS avg_cpi
 FROM gold.vw_npc_cpi v
 JOIN gold.npc_dim_cpi_basket_group b ON v.BASKET_GROUP_ID = b.BASKET_GROUP_ID
 JOIN gold.dim_date d ON v.DATE_ID = d.DATE_ID
 GROUP BY b.BASKET_GROUP_DESCRIPTION_EN, d.YEAR
 ORDER BY b.BASKET_GROUP_DESCRIPTION_EN, d.YEAR;",,
9,Is there a correlation between GDP and labor force productivity growth?,"SELECT dd.YEAR, ROUND(AVG(g.REAL_GDP),2) AS avg_real_gdp,
  ROUND(AVG(g.PRODUCTIVITY_PERCENTAGE_GROWTH),2) AS avg_productivity_growth
 FROM gold.vw_npc_gdp_non_hydrocarbon_labor_productivity_growth g join dim_date dd on g.date_id = dd.date_id
 GROUP BY dd.YEAR
 ORDER BY dd.YEAR;",,
10,Which 5 countries have the highest Ease of Doing Business score?,"SELECT c.COUNTRY_NAME_EN, e.YEAR, ROUND(AVG(e.EASE_OF_DOING_BUSINESS_SCORE),2) AS avg_score
 FROM gold.intl_fact_ease_of_doing_business e
 JOIN gold.dim_country c ON e.COUNTRY_ID = c.COUNTRY_ID
 WHERE e.YEAR = (SELECT MAX(YEAR) FROM gold.intl_fact_ease_of_doing_business)
 GROUP BY c.COUNTRY_NAME_EN, e.YEAR
 ORDER BY avg_score DESC
 LIMIT 5;",,
11,What is the gender distribution of Qatari university student completions?,"SELECT YEAR, GENDER, SUM(STUDENTS_WHO_COMPLETED_UNIVERSITY_EDUCATION) AS completed_students
 FROM gold.moehe_fact_university_students_completion_percentage
 WHERE NATIONALITY = 'Qatari'
 GROUP BY YEAR, GENDER
 ORDER BY YEAR;",,
12,What is non-hydrocarbon revenue as a percentage of total government revenues?,"SELECT YEAR, ROUND(AVG(`NON_OIL_&_GAS/TOTAL_REV`),2) AS non_hydro_revenue_pct
 FROM gold.mof_fact_non_hydrocarbon_government_revenue_as_percentage_of_total_government_revenues
 GROUP BY YEAR
 ORDER BY YEAR;",,
13,What is the trend in the teacher-to-student ratio in public schools?,"SELECT YEAR, ROUND(AVG(RATIO_TEACHER_TO_STUDENT),2) AS avg_ratio
 FROM gold.moehe_fact_teachers_students_ratio_public
 GROUP BY YEAR
 ORDER BY YEAR;",,
14,What is the tourism occupancy rate by month (latest year)?,"SELECT YEAR, MONTH, ROUND(AVG(OCCUPANCY_RATE),2) AS avg_occ_rate
 FROM gold.qt_vw_occupancy_rate
 WHERE YEAR = (SELECT MAX(YEAR) FROM gold.qt_vw_occupancy_rate)
 GROUP BY YEAR, MONTH
 ORDER BY MONTH;",,
15,How has agricultural self-sufficiency improved year over year?,"SELECT dd.YEAR, 
  ROUND(AVG(SELF_SUFFICIENCY_PERCENTAGE),2) AS avg_self_sufficiency,
  ROUND(AVG(SELF_SUFFICIENCY_PERCENTAGE) - 
  LAG(AVG(SELF_SUFFICIENCY_PERCENTAGE)) OVER (ORDER BY YEAR),2) AS yoy_change
 FROM gold.mom_fact_commodities_self_sufficiency g join dim_date dd on g.date_id = dd.date_id
 GROUP BY dd.YEAR
 ORDER BY dd.YEAR;",,
16,What is the foreign trade value by trade type?,"SELECT t.TRADE_TYPE_EN, ROUND(SUM(f.TRADE_VALUE)/1e9,2) AS trade_value_billion_qr
 FROM gold.vw_npc_foreign_trade_summary f
 JOIN gold.npc_dim_foreign_trade_trade_type t ON f.TRADE_TYPE_ID = t.TRADE_TYPE_ID
 GROUP BY t.TRADE_TYPE_EN
 ORDER BY trade_value_billion_qr DESC;",,
17,What is the trend in R&D funding sources?,"SELECT YEAR, ROUND(SUM(PRIVATE_FUNDS),2) AS private_funds,
  ROUND(SUM(GRANTS),2) AS grants,
  ROUND(SUM(DIRECT_RND_CONTRACTS),2) AS direct_contracts
 FROM gold.npc_fact_rnd r
 JOIN gold.dim_date d ON r.DATE_ID = d.DATE_ID
 GROUP BY YEAR
 ORDER BY YEAR;",,
18,What is the real estate price trend by municipality?,"SELECT m.MUNICIPALITY_EN, YEAR, ROUND(AVG(PRICE_PER_METER),2) AS avg_price_per_meter
 FROM gold.moj_fact_real_estate_transactions r
 JOIN gold.npc_dim_labor_force_municipality m ON r.MUNICIPALITY_ID = m.MUNICIPALITY_ID
 JOIN gold.dim_date d ON r.DATE_ID = d.DATE_ID
 GROUP BY m.MUNICIPALITY_EN, YEAR
 ORDER BY YEAR;",,
19,Is there a correlation between university STEM graduates and GDP?,"SELECT g.YEAR, SUM(s.GRADUATES_IN_STEM_FIELDS) AS total_stem, 
  SUM(e.CURRENT_GDP_NOMINAL) AS total_gdp
 FROM gold.moehe_fact_qatari_stem_graduates s
 JOIN gold.vw_npc_gdp_by_economic_activity e ON s.YEAR = e.YEAR
 JOIN gold.dim_date g ON s.DATE_ID = g.DATE_ID
 GROUP BY g.YEAR
 ORDER BY g.YEAR;",,
20,Which 10 countries have the highest total exports value (latest year)?,"SELECT c.COUNTRY_NAME_EN, ROUND(SUM(f.TOTAL_EXPORTS)/1e9,2) AS exports_billion_qr
 FROM gold.vw_npc_trade_non_hydrocarbon_exports f
 JOIN gold.dim_country c ON f.trade_COUNTRY_ID = c.COUNTRY_ID
 WHERE f.YEAR = (SELECT MAX(YEAR) FROM gold.vw_npc_trade_non_hydrocarbon_exports)
 GROUP BY c.COUNTRY_NAME_EN
 ORDER BY exports_billion_qr DESC
 LIMIT 10;",,
21,What is the distribution of employment types?,"select distinct EMPLOYMENT_TYPE_ID, EMPLOYMENT_TYPE_EN, EMPLOYMENT_TYPE_AR from npc_nih_lakehouse_prod.gold.npc_dim_labor_force_employment_type order by EMPLOYMENT_TYPE_ID;",,
