table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,full_data_type,data_type
npc_nih_lakehouse_uat,gold,cgb_dim_status_in_employment,STATUS_IN_EMPLOYMENT_ID,0,null,bigint,LONG
npc_nih_lakehouse_uat,gold,cgb_dim_status_in_employment,STATUS_IN_EMPLOYMENT_EN,1,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_dim_status_in_employment,STATUS_IN_EMPLOYMENT_AR,2,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,GLD_CGB_EMPLOYEE_ID,0,null,bigint,LONG
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,SLVR_CGB_EMPLOYEE_ID,1,null,bigint,LONG
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,BRNZ_CGB_EMPLOYEE_ID,2,null,bigint,LONG
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,QID,3,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,BIRTH_DATE_ID,4,null,bigint,LONG
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,GENDER_ID,5,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,MARITAL_STATUS_ID,6,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,MAIN_OCCUPATION,7,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,JOB_START_DATE_ID,8,null,bigint,LONG
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,JOB_END_DATE_ID,9,null,bigint,LONG
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,COUNTRY_ID,10,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,EDUCATION_LEVEL_ID,11,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,STATUS_IN_EMPLOYMENT_ID,12,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,MAWARED_FLAG,13,null,boolean,BOOLEAN
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,PIPELINE_RUN_ID,14,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,PIPELINE_TRIGGER_ID,15,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,PIPELINE_TRIGGER_TIME,16,null,timestamp,TIMESTAMP
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,PIPELINE_TRIGGERED_BY_PIPELINE_RUN_ID,17,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,PIPELINE_NAME,18,null,string,STRING
npc_nih_lakehouse_uat,gold,cgb_fact_cgb_employee,ADF_PERIOD,19,null,string,STRING
